Date : 2025-11-24 11:58:06
Directory : d:\Aldhaf\hr_odoo
Total : 195 files,  14941 codes, 987 comments, 1679 blanks, all 17607 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        141 |     12,773 |        785 |      1,264 |     14,822 |
| d:\Aldhaf\hr_odoo\lib\module\my_schedule\controller\my_schedule_controller.dart                         | Dart       |        369 |         66 |         59 |        494 |
| d:\Aldhaf\hr_odoo\lib\module\my_schedule\model\my_schedule_model.dart                                   | Dart       |         36 |          0 |          4 |         40 |
| d:\Aldhaf\hr_odoo\lib\module\my_schedule\model\schedule_request_model.dart                              | Dart       |          6 |          0 |          1 |          7 |
| d:\Aldhaf\hr_odoo\lib\module\my_schedule\model\work_pattern_model.dart                                  | Dart       |         19 |          0 |          3 |         22 |
| d:\Aldhaf\hr_odoo\lib\module\my_schedule\view\my_schedule_view.dart                                     | Dart       |        639 |         45 |         28 |        712 |
| d:\Aldhaf\hr_odoo\lib\module\my_schedule\widget\rejected_schedule_detail_sheet.dart                     | Dart       |        101 |          6 |          8 |        115 |
| d:\Aldhaf\hr_odoo\lib\module\my_schedule\widget\request_schedule_bottom_sheet.dart                      | Dart       |        141 |          8 |         13 |        162 |
| d:\Aldhaf\hr_odoo\lib\module\notification\bindings\notification_binding.dart                            | Dart       |          8 |          0 |          1 |          9 |
| d:\Aldhaf\hr_odoo\lib\module\notification\controller\notification_controller.dart                       | Dart       |         58 |         13 |         16 |         87 |
| d:\Aldhaf\hr_odoo\lib\module\notification\model\notification_model.dart                                 | Dart       |         61 |          6 |          7 |         74 |
